2019S,"BIA 600JP",W,0515PM,0800PM,JP,OFF,CLOSED,LEC
2019S,"BIA 600WS",TBA,,,WS,OFF,WEB,LEC
2019S,"BIA 610A",R,0630PM,0900PM,,NB,105,LEC
2019S,"BIA 650A",R,0630PM,0900PM,,BC,202,LEC
2019S,"BIA 650WS",TBA,,,WS,OFF,WEB,LEC
2019S,"BIA 652A",M,0615PM,0845PM,,BC,203,LEC
2019S,"BIA 652B",M,0615PM,0845PM,,X,414,LEC
2019S,"BIA 652WS",TBA,,,WS,OFF,WEB,LEC
2019S,"BIA 654A",R,0630PM,0900PM,,X,106,LEC
2019S,"BIA 654B",T,0330PM,0600PM,,M,103,LEC
2019S,"BIA 656A",M,1200PM,0230PM,,BC,HFSL,LEC
2019S,"BIA 658A",M,0300PM,0530PM,,E,330,LEC
2019S,"BIA 658B",R,0330PM,0600PM,,M,103,LEC
2019S,"BIA 658WS",TBA,,,WS,OFF,WEB,LEC
2019S,"BIA 660A",M,0615PM,0845PM,,P,120,LEC
2019S,"BIA 660B",R,1230PM,0300PM,,X,106,LEC
2019S,"BIA 660C",R,0630PM,0900PM,,BC,321,LEC
2019S,"BIA 660D",T,0630PM,0900PM,,C,316,LEC
2019S,"BIA 660WS",TBA,,,WS,OFF,WEB,LEC
2019S,"BIA 662A",W,0630PM,0900PM,,C,315,LEC
2019S,"BIA 670A",W,1200PM,0230PM,,NB,101,LEC
2019S,"BIA 672A",T,1230PM,0300PM,,X,106,LEC
2019S,"BIA 672B",R,1230PM,0300PM,,BC,202,LEC
2019S,"BIA 678A",T,0630PM,0900PM,,BC,104,LEC
2019S,"BIA 678WZ",T,0540PM,0820PM,WZ,OFF,CLOSED,LEC
2019S,"BIA 686A",M,0300PM,0530PM,,X,106,LEC
2019S,"BIA 702A",TBA,,,,OFF,TBA,LEC
2019S,"BIA 800A",TBA,,,,N/A,N/A,LEC
2019S,"BIA 810A",T,0615PM,0845PM,,BC,210,LEC
2019S,"BIO 201A",MW,0900AM,0950AM,,X,104,LEC
2019S,"BIO 201A",F,1100AM,1150AM,,BC,320,LEC
2019S,"BIO 281A",M,0200PM,0250PM,,K,228,LEC
